,acl_name,acl_tot_elem,acl_name_hash,type,line_num,remark,action,protocol,svc_object_grp,svc_object,src_intfc,src_object_grp,src_object,src_host,src_network,src_mask,src_any,dst_intfc,dst_object_grp,dst_object,dst_host,dst_network,dst_mask,dst_any,dst_port,dst_port_grp,dst_port_object,log_level,log_interval,state,hit_count,line_hash,entry_protocol_icmp,entry_protocol,entry_src_fqdn,entry_src_range_start,entry_src_range_end,entry_src_host,entry_src_network,entry_src_mask,entry_src_any,entry_src_fqdn_state,entry_dst_fqdn,entry_dst_range_start,entry_dst_range_end,entry_dst_host,entry_dst_network,entry_dst_mask,entry_dst_any,entry_dst_fqdn_state,entry_icmp_type,entry_icmp_code,entry_port,entry_port_less_than,entry_port_greater_than,entry_port_range_start,entry_port_range_end,entry_hit_count,entry_state,entry_hash
0,OUT-VCLOUD-in,130,0xd7b901e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OUT-VCLOUD-in,,,extended,1,,permit,,SRV-IP-DOMAINCONTROLLERS,,,GRP-FTOC-DOMAINCONTROLLERS,,,,,,,,,,10.130.45.0,255.255.255.0,,,,,,,,0,0x9c2a4216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tcp,,,,,10.130.79.0,255.255.255.224,,,,,,,10.130.45.0,255.255.255.0,,,,,netbios-ssn,,,,,0,,0x98031454
3,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tcp,,,,,10.130.76.0,255.255.255.192,,,,,,,10.130.45.0,255.255.255.0,,,,,netbios-ssn,,,,,0,,0xc9046fd3
4,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tcp,,,,,10.130.207.96,255.255.255.248,,,,,,,10.130.45.0,255.255.255.0,,,,,netbios-ssn,,,,,0,,0xd485f464
5,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tcp,,,,,10.130.204.0,255.255.255.192,,,,,,,10.130.45.0,255.255.255.0,,,,,netbios-ssn,,,,,0,,0x755ef974
6,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udp,,,,,10.130.79.0,255.255.255.224,,,,,,,10.130.45.0,255.255.255.0,,,,,139,,,,,0,,0xff2f2bfb
7,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udp,,,,,10.130.76.0,255.255.255.192,,,,,,,10.130.45.0,255.255.255.0,,,,,139,,,,,0,,0xbf5b5576
8,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udp,,,,,10.130.207.96,255.255.255.248,,,,,,,10.130.45.0,255.255.255.0,,,,,139,,,,,0,,0x5731faf9
9,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udp,,,,,10.130.204.0,255.255.255.192,,,,,,,10.130.45.0,255.255.255.0,,,,,139,,,,,0,,0xd6b5d23d
10,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tcp,,,,,10.130.79.0,255.255.255.224,,,,,,,10.130.45.0,255.255.255.0,,,,,445,,,,,0,,0x6bb15855
11,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tcp,,,,,10.130.76.0,255.255.255.192,,,,,,,10.130.45.0,255.255.255.0,,,,,445,,,,,0,,0xb1ded365
12,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tcp,,,,,10.130.207.96,255.255.255.248,,,,,,,10.130.45.0,255.255.255.0,,,,,445,,,,,0,,0x84fee33d
13,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tcp,,,,,10.130.204.0,255.255.255.192,,,,,,,10.130.45.0,255.255.255.0,,,,,445,,,,,0,,0xa22a4db9
14,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udp,,,,,10.130.79.0,255.255.255.224,,,,,,,10.130.45.0,255.255.255.0,,,,,445,,,,,0,,0x7b4bc095
15,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udp,,,,,10.130.76.0,255.255.255.192,,,,,,,10.130.45.0,255.255.255.0,,,,,445,,,,,0,,0xeb409aa5
16,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udp,,,,,10.130.207.96,255.255.255.248,,,,,,,10.130.45.0,255.255.255.0,,,,,445,,,,,0,,0x2b945398
17,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udp,,,,,10.130.204.0,255.255.255.192,,,,,,,10.130.45.0,255.255.255.0,,,,,445,,,,,0,,0xd0d40604
18,OUT-VCLOUD-in,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tcp,,,,,10.130.79.0,255.255.255.224,,,,,,,10.130.45.0,255.255.255.0,,,,,135,,,,,0,,0x3c301ef4
